colony_id,surface.area.cm2,timepoint,Run
MCAP-G1,45,18,1
PACT-D1,45,18,1
MCAP-H1,45,18,1
MCAP-B1,45,18,1
PACT-B1,45,18,1
PACT-A1,45,18,1
PCOM-C1,45,18,1
PCOM-G1,45,18,1
PCOM-B1,45,18,1
MCAP-E1,45,18,1
PCOM-E1,45,18,1
PACT-G1,45,18,1
MCAP-D1,45,18,1
PCOM-H1,45,18,1
PACT-H1,45,18,1
PCOM-A1,45,18,1
PACT-C1,45,18,1
MCAP-F1,45,18,1
PACT-A2,45,28,2
PACT-B2,45,28,2
PCOM-B2,45,28,2
MCAP-A2,45,28,2
PACT-F2,45,28,2
PCOM-D2,45,28,2
MCAP-H2,45,28,2
PCOM-G2,45,28,2
MCAP-G2,45,28,2
PACT-C2,45,28,2
PCOM-C2,45,28,2
PACT-D2,45,28,2
MCAP-C2,45,28,2
PCOM-E2,45,28,2
MCAP-B2,45,28,2
PACT-E2,45,28,2
MCAP-D2,45,28,2
PCOM-A2,45,28,2
PCOM-H2,45,28,3
PACT-G2,45,28,3
MCAP-F2,45,28,3
MCAP-E2,45,28,3
PCOM-F2,45,28,3
PACT-H2,45,28,3
PACT-E1,45,18,4
MCAP-C1,45,18,4
PCOM-F1,45,18,4
MCAP-A1,45,18,4
PACT-E1,45,18,4
PCOM-D1,45,18,4
