"","Species","colony_id","Light_Value.x","Run","micromol.cm2.s","micromol.cm2.h"
"1","Montipora capitata","MCAP-A1","0",4,-0.0133839474660137,-48.1822108776492
"2","Montipora capitata","MCAP-A1","1048",4,0.0290941650111317,104.738994040074
"3","Montipora capitata","MCAP-A1","1192",4,0.027557894454565,99.2084200364338
"4","Montipora capitata","MCAP-A1","121",4,0.0130667018444761,47.0401266401139
"5","Montipora capitata","MCAP-A1","1378",4,0.0232622530430083,83.7441109548298
"6","Montipora capitata","MCAP-A1","315",4,0.0263948740419136,95.0215465508889
"7","Montipora capitata","MCAP-A1","34",4,-0.00226972098020608,-8.1709955287419
"8","Montipora capitata","MCAP-A1","492",4,0.030006494912913,108.023381686487
"9","Montipora capitata","MCAP-A1","638",4,0.0328239334976385,118.166160591499
"10","Montipora capitata","MCAP-A1","948",4,0.026347751187754,94.8519042759144
"11","Montipora capitata","MCAP-A2","0",2,0.00916512720116158,32.9944579241817
"12","Montipora capitata","MCAP-A2","1048",2,0.0723517400621285,260.466264223663
"13","Montipora capitata","MCAP-A2","1192",2,0.0663080858978684,238.709109232326
"14","Montipora capitata","MCAP-A2","121",2,0.0135351889814495,48.7266803332183
"15","Montipora capitata","MCAP-A2","1378",2,0.0578475751009221,208.251270363319
"16","Montipora capitata","MCAP-A2","315",2,0.0580340816245988,208.922693848556
"17","Montipora capitata","MCAP-A2","34",2,-0.00995325378465504,-35.8317136247581
"18","Montipora capitata","MCAP-A2","492",2,0.0762122826675259,274.364217603093
"19","Montipora capitata","MCAP-A2","638",2,0.0772266932305018,278.016095629806
"20","Montipora capitata","MCAP-A2","948",2,0.0773147274494679,278.333018818085
"21","Montipora capitata","MCAP-A3","0",6,-0.0383089812772843,-137.912332598223
"22","Montipora capitata","MCAP-A3","1048",6,-0.0102190779685492,-36.7886806867773
"23","Montipora capitata","MCAP-A3","1192",6,-0.023780777453558,-85.6107988328088
"24","Montipora capitata","MCAP-A3","121",6,-0.0136862351885069,-49.2704466786249
"25","Montipora capitata","MCAP-A3","1378",6,-0.0222500331334442,-80.1001192803992
"26","Montipora capitata","MCAP-A3","315",6,-0.0309090985464901,-111.272754767364
"27","Montipora capitata","MCAP-A3","34",6,-0.0480573645875291,-173.006512515105
"28","Montipora capitata","MCAP-A3","492",6,-0.0136841461793259,-49.2629262455733
"29","Montipora capitata","MCAP-A3","638",6,-0.0181792924464725,-65.4454528073008
"30","Montipora capitata","MCAP-A3","948",6,-0.00865310883496396,-31.1511918058702
"31","Montipora capitata","MCAP-A4","0",7,-0.0501949891313392,-180.701960872821
"32","Montipora capitata","MCAP-A4","1048",7,0.0585465407755756,210.767546792072
"33","Montipora capitata","MCAP-A4","1192",7,0.0456385294955272,164.298706183898
"34","Montipora capitata","MCAP-A4","121",7,-0.0121112827060423,-43.6006177417524
"35","Montipora capitata","MCAP-A4","1378",7,0.0500992925076886,180.357453027679
"36","Montipora capitata","MCAP-A4","315",7,0.0295248861300671,106.289590068241
"37","Montipora capitata","MCAP-A4","34",7,-0.0233149297028196,-83.9337469301505
"38","Montipora capitata","MCAP-A4","492",7,0.0510565170299262,183.803461307734
"39","Montipora capitata","MCAP-A4","638",7,0.0666737903876698,240.025645395611
"40","Montipora capitata","MCAP-A4","948",7,0.0623744285062348,224.547942622445
"41","Montipora capitata","MCAP-B1","0",1,-0.0186388706301286,-67.0999342684629
"42","Montipora capitata","MCAP-B1","1048",1,0.0346835516194138,124.86078582989
"43","Montipora capitata","MCAP-B1","1192",1,0.0360122144220772,129.643971919478
"44","Montipora capitata","MCAP-B1","121",1,-0.000207971787343859,-0.748698434437892
"45","Montipora capitata","MCAP-B1","1378",1,0.0348902302509868,125.604828903553
"46","Montipora capitata","MCAP-B1","1409",1,0.0371350058922537,133.686021212113
"47","Montipora capitata","MCAP-B1","315",1,0.0213008812645387,76.6831725523392
"48","Montipora capitata","MCAP-B1","34",1,-0.0108234383273293,-38.9643779783855
"49","Montipora capitata","MCAP-B1","492",1,0.0293142959736878,105.531465505276
"50","Montipora capitata","MCAP-B1","638",1,0.0341521636250008,122.947789050003
"51","Montipora capitata","MCAP-B1","948",1,0.0363888460069138,130.99984562489
"52","Montipora capitata","MCAP-B2","0",2,0.0165220630332618,59.4794269197423
"53","Montipora capitata","MCAP-B2","1048",2,0.0783987619591241,282.235543052847
"54","Montipora capitata","MCAP-B2","1192",2,0.0777543724156539,279.915740696354
"55","Montipora capitata","MCAP-B2","121",2,0.0108500363562954,39.0601308826636
"56","Montipora capitata","MCAP-B2","1378",2,0.0780036941485462,280.813298934766
"57","Montipora capitata","MCAP-B2","315",2,0.0363116538243295,130.721953767586
"58","Montipora capitata","MCAP-B2","34",2,-0.0011866192668699,-4.27182936073165
"59","Montipora capitata","MCAP-B2","492",2,0.076559253707852,275.613313348267
"60","Montipora capitata","MCAP-B2","638",2,0.0842784764817351,303.402515334246
"61","Montipora capitata","MCAP-B2","948",2,0.0833018155720746,299.886536059469
"62","Montipora capitata","MCAP-B3","0",6,-0.0336660014487973,-121.19760521567
"63","Montipora capitata","MCAP-B3","1048",6,-0.0159455222219832,-57.4038799991396
"64","Montipora capitata","MCAP-B3","1192",6,-0.0189099223183585,-68.0757203460904
"65","Montipora capitata","MCAP-B3","121",6,-0.0217787830381865,-78.4036189374714
"66","Montipora capitata","MCAP-B3","1378",6,-0.0143294400859689,-51.5859843094881
"67","Montipora capitata","MCAP-B3","315",6,-0.0222098590577828,-79.9554926080181
"68","Montipora capitata","MCAP-B3","34",6,-0.0131097511093842,-47.1951039937831
"69","Montipora capitata","MCAP-B3","492",6,-0.0250605287597058,-90.2179035349409
"70","Montipora capitata","MCAP-B3","638",6,-0.0157731749717544,-56.7834298983159
"71","Montipora capitata","MCAP-B3","948",6,-0.00871318696476209,-31.3674730731435
"72","Montipora capitata","MCAP-B4","0",8,-0.0862712835734558,-310.576620864441
"73","Montipora capitata","MCAP-B4","0",8,-0.0862712835734558,-310.576620864441
"74","Montipora capitata","MCAP-B4","0",8,-0.0862712835734558,-310.576620864441
"75","Montipora capitata","MCAP-B4","0",8,-0.0862712835734558,-310.576620864441
"76","Montipora capitata","MCAP-B4","1048",8,0.177061841577716,637.422629679779
"77","Montipora capitata","MCAP-B4","1048",8,0.177061841577716,637.422629679779
"78","Montipora capitata","MCAP-B4","1048",8,0.177061841577716,637.422629679779
"79","Montipora capitata","MCAP-B4","1048",8,0.177061841577716,637.422629679779
"80","Montipora capitata","MCAP-B4","1192",8,0.139104116266254,500.774818558514
"81","Montipora capitata","MCAP-B4","1192",8,0.139104116266254,500.774818558514
"82","Montipora capitata","MCAP-B4","1192",8,0.139104116266254,500.774818558514
"83","Montipora capitata","MCAP-B4","1192",8,0.139104116266254,500.774818558514
"84","Montipora capitata","MCAP-B4","121",8,-0.00782937849233626,-28.1857625724105
"85","Montipora capitata","MCAP-B4","121",8,-0.00782937849233626,-28.1857625724105
"86","Montipora capitata","MCAP-B4","121",8,-0.00782937849233626,-28.1857625724105
"87","Montipora capitata","MCAP-B4","121",8,-0.00782937849233626,-28.1857625724105
"88","Montipora capitata","MCAP-B4","1378",8,0.126673766863516,456.025560708656
"89","Montipora capitata","MCAP-B4","1378",8,0.126673766863516,456.025560708656
"90","Montipora capitata","MCAP-B4","1378",8,0.126673766863516,456.025560708656
"91","Montipora capitata","MCAP-B4","1378",8,0.126673766863516,456.025560708656
"92","Montipora capitata","MCAP-B4","315",8,0.0890389213344653,320.540116804075
"93","Montipora capitata","MCAP-B4","315",8,0.0890389213344653,320.540116804075
