colony_id,species,Temp.Cat,Run,Date,notes
MCAP-G1,Montipora capitata,18,1,20230921,NA
PACT-D1,Pocillopora acuta,18,1,20230921,NA
MCAP-H1,Montipora capitata,18,1,20230921,NA
MCAP-B1,Montipora capitata,18,1,20230921,NA
PACT-B1,Pocillopora acuta,18,1,20230921,NA
PACT-A1,Pocillopora acuta,18,1,20230921,coral fell off plug
PCOM-C1,Porites compressa,18,1,20230921,NA
PCOM-G1,Porites compressa,18,1,20230921,NA
PCOM-B1,Porites compressa,18,1,20230921,NA
MCAP-E1,Montipora capitata,18,1,20230921,NA
PCOM-E1,Porites compressa,18,1,20230921,NA
PACT-G1,Pocillopora acuta,18,1,20230921,NA
MCAP-D1,Montipora capitata,18,1,20230921,NA
PCOM-H1,Porites compressa,18,1,20230921,NA
PACT-H1,Pocillopora acuta,18,1,20230921,NA
PCOM-A1,Porites compressa,18,1,20230921,NA
PACT-C1,Pocillopora acuta,18,1,20230921,chamber bottom double glued reflecting
MCAP-F1,Montipora capitata,18,1,20230921,NA
PACT-A2,Pocillopora acuta,28,2,20230922,NA
PACT-B2,Pocillopora acuta,28,2,20230922,NA
PCOM-B2,Porites compressa,28,2,20230922,NA
MCAP-A2,Montipora capitata,28,2,20230922,NA
PACT-F2,Pocillopora acuta,28,2,20230922,NA
PCOM-D2,Porites compressa,28,2,20230922,NA
MCAP-H2,Montipora capitata,28,2,20230922,NA
PCOM-G2,Porites compressa,28,2,20230922,NA
MCAP-G2,Montipora capitata,28,2,20230922,NA
PACT-C2,Pocillopora acuta,28,2,20230922,NA
PCOM-C2,Porites compressa,28,2,20230922,NA
PACT-D2,Pocillopora acuta,28,2,20230922,NA
MCAP-C2,Montipora capitata,28,2,20230922,NA
PCOM-E2,Porites compressa,28,2,20230922,NA
MCAP-B2,Montipora capitata,28,2,20230922,NA
PACT-E2,Pocillopora acuta,28,2,20230922,NA
MCAP-D2,Montipora capitata,28,2,20230922,NA
PCOM-A2,Porites compressa,28,2,20230922,NA
PCOM-H2,Porites compressa,28,3,20230922,NA
PACT-G2,Pocillopora acuta,28,3,20230922,NA
MCAP-F2,Montipora capitata,28,3,20230922,NA
MCAP-E2,Montipora capitata,28,3,20230922,NA
PCOM-F2,Porites compressa,28,3,20230922,NA
PACT-H2,Pocillopora acuta,28,3,20230922,NA
PACT-E1,Pocillopora acuta,18,4,20230922,NA
MCAP-C1,Montipora capitata,18,4,20230922,NA
PCOM-F1,Porites compressa,18,4,20230922,NA
MCAP-A1,Montipora capitata,18,4,20230922,NA
PACT-E1,Pocillopora acuta,18,4,20230922,NA
PCOM-D1,Porites compressa,18,4,20230922,NA
PACT-F3,Pocillopora acuta,40,5,20230923,NA
PCOM-A3,Porites compressa,40,5,20230924,NA
MCAP-G3,Montipora capitata,40,5,20230925,NA
PACT-C3,Pocillopora acuta,40,5,20230927,NA
PCOM-H3,Porites compressa,40,5,20230928,NA
PCOM-D3,Porites compressa,40,5,20230929,NA
PCOM-E3,Porites compressa,40,5,20230930,NA
MCAP-D3,Montipora capitata,40,5,20230931,NA
PACT-B3,Pocillopora acuta,40,5,20230932,NA
MCAP-C3,Montipora capitata,40,5,20230933,NA
MCAP-H3,Montipora capitata,40,5,20230935,NA
PACT-G3,Pocillopora acuta,40,5,20230936,NA
MCAP-B3,Montipora capitata,40,6,20230937,NA
PCOM-C3,Porites compressa,40,6,20230938,NA
PACT-E3,Pocillopora acuta,40,6,20230939,NA
PCOM-G3,Porites compressa,40,6,20230940,NA
PCOM-B3,Porites compressa,40,6,20230942,NA
MCAP-F3,Montipora capitata,40,6,20230943,NA
PCOM-F3,Porites compressa,40,6,20230944,NA
PACT-D3,Pocillopora acuta,40,6,20230945,NA
MCAP-A3,Montipora capitata,40,6,20230947,NA
PACT-H3,Pocillopora acuta,40,6,20230948,NA
MCAP-E3,Montipora capitata,40,6,20230949,NA
PACT-A3,Pocillopora acuta,40,6,20230950,NA
